titulo,titulo_espanol,sinopsis
"Prometheus","Prometheus","Una expedición científica descobre evidencia de los orígenes de la humanidad, pero también encuentra una amenaza que podría destruirla."
"Event Horizon","Horizonte Final","Una nave de rescate investiga una nave experimental que desapareció años antes y regresó con algo a bordo."
"Sunshine","Sunshine","Una tripulación internacional es enviada en una misión desesperada para reactivar el sol moribundo."
"Interstellar","Interestelar","Un equipo de exploradores viaja a través de un agujero de gusano en el espacio en un intento por asegurar el futuro de la humanidad."
"The Martian","Marte","Un astronauta es dado por muerto en Marte y debe usar su ingenio para sobrevivir y encontrar una manera de comunicarse con la Tierra."
"Gravity","Gravedad","Dos astronautas quedan varados en el espacio después de que su transbordador es destruido."
"First Man","First Man","La historia de Neil Armstrong y la misión Apollo 11 para aterrizar en la luna."
"Apollo 13","Apollo 13","La misión Apollo 13 sufre una explosión en el espacio y la tripulación debe luchar por sobrevivir y regresar a la Tierra."
"The Right Stuff","The Right Stuff","La historia de los primeros astronautas del programa Mercury de la NASA."
"Hidden Figures","Figuras Ocultas","La historia de las matemáticas afroamericanas que trabajaron en la NASA durante la carrera espacial."
"October Sky","El Cielo de Octubre","Un joven de un pueblo minero se inspira en el lanzamiento del Sputnik para construir cohetes."
"Contact","Contact","Una científica encuentra evidencia de vida extraterrestre y es elegida para hacer el primer contacto."
"Arrival","La Llegada","Una lingüista trabaja con el ejército para comunicarse con formas de vida extraterrestres después de que doce misteriosas naves espaciales aparecen en todo el mundo."
"Close Encounters of the Third Kind","Encuentros Cercanos del Tercer Tipo","Un hombre común es obsesionado por encuentros extraterrestres y se une a un grupo de científicos que investigan el fenómeno."
"E.T. the Extra-Terrestrial","E.T. el Extraterrestre","Un niño problemático reúne el coraje para ayudar a un extraterrestre amistoso a escapar de la Tierra y regresar a su planeta de origen."
"Super 8","Super 8","Un grupo de amigos que filman una película casera son testigos de un tren que descarrila y libera algo peligroso."
"Cloverfield","Cloverfield","Un grupo de amigos documenta su escape a través de Nueva York mientras una criatura gigante ataca la ciudad."
"A Quiet Place","Un Lugar Silencioso","Una familia debe vivir en silencio para evitar ser atacada por criaturas que cazan por el sonido."
"A Quiet Place Part II","Un Lugar Silencioso 2","La familia Abbott debe enfrentarse a los terrores del mundo exterior mientras luchan por sobrevivir en silencio."
"Bird Box","Bird Box","Una mujer y dos niños navegan por un río ciegos para escapar de unas entidades que hacen que las personas se suiciden al verlas."
"The Happening","El Incidente","Una familia huye de un fenómeno natural que hace que las personas se suiciden."
"Signs","Señales","Un sacerdote y su familia descubren formaciones de cultivos en su granja que podrían ser de origen extraterrestre."
"The Day the Earth Stood Still","El Día que la Tierra se Detuvo","Un alienígena viene a la Tierra para advertir a la humanidad sobre su comportamiento destructivo."
"War of the Worlds","La Guerra de los Mundos","Un padre lucha por proteger a sus hijos cuando los extraterrestres invaden la Tierra."
"Independence Day","Independence Day","Los extraterrestres vienen a la Tierra y su intención es destruir. En una carrera contra el tiempo, el mundo se une por una última oportunidad de supervivencia."
"Mars Attacks!","Mars Attacks!","Una invasión alienígena cómica y satírica de la Tierra por marcianos con cerebros gigantes."
"Men in Black","Hombres de Negro","Una agencia secreta del gobierno vigila la vida extraterrestre en la Tierra."
"Paul","Paul","Dos fanáticos de la ciencia ficción se encuentran con un alienígena real mientras viajan por los Estados Unidos."
"The World's End","El Fin del Mundo","Un grupo de amigos se reúne para completar un recorrido de bares, pero descubre que su pueblo natal ha sido reemplazado por androides."
"Attack the Block","Attack the Block","Un grupo de adolescentes de Londres defiende su bloque de apartamentos de una invasión alienígena."
"District 9","Distrito 9","Un extraterrestre varado en la Tierra se ve obligado a vivir en condiciones de apartheid en Sudáfrica."
"Starship Troopers","Las Brigadas del Espacio","Los humanos en una sociedad fascista y militarista luchan una guerra interestelar contra una especie de insectos."
"Edge of Tomorrow","Al Filo del Mañana","Un oficial militar es atrapado en un bucle de tiempo mientras lucha contra una raza alienígena."
"Oblivion","Oblivion","Un técnico de reparaciones en una Tierra postapocalíptica descubre la verdad sobre su misión y su identidad."
"After Earth","After Earth","Un padre y su hijo se estrellan en la Tierra, que ha sido abandonada por la humanidad y es ahora un planeta peligroso."
"Valerian and the City of a Thousand Planets","Valerian y la Ciudad de los Mil Planetas","Dos agentes espaciales son enviados a una metrópolis en constante crecimiento donde especies de todo el universo han convergido."
"Jupiter Ascending","Jupiter Ascending","Una mujer limpiadora descubre que es la reencarnación de una reina alienígena y es perseguida por aquellos que quieren aprovecharse de su herencia."
"Passengers","Passengers","Un pasajero de una nave espacial se despierta 90 años antes de lo previsto y enfrenta la perspectiva de vivir y morir solo."
"The Midnight Sky","La Voz de la Noche","Un científico en el Ártico intenta advertir a una tripulación de astronautas que regresa a la Tierra sobre un desastre global."
"Ad Astra","Ad Astra","Un astronauta viaja a través del sistema solar para encontrar a su padre desaparecido y desentrañar un misterio que amenaza la supervivencia de la Tierra."
"First Man","First Man","La historia de Neil Armstrong y la misión Apollo 11 para aterrizar en la luna."
"Interstellar","Interestelar","Un equipo de exploradores viaja a través de un agujero de gusano en el espacio en un intento por asegurar el futuro de la humanidad."
"The Martian","Marte","Un astronauta es dado por muerto en Marte y debe usar su ingenio para sobrevivir y encontrar una manera de comunicarse con la Tierra."
"Gravity","Gravedad","Dos astronautas quedan varados en el espacio después de que su transbordador es destruido."
"Apollo 13","Apollo 13","La misión Apollo 13 sufre una explosión en el espacio y la tripulación debe luchar por sobrevivir y regresar a la Tierra."
"Moon","Moon","Un astronauta que trabaja solo en una base lunar descubre que no está solo y que su realidad no es lo que parece."
"Solaris","Solaris","Un psicólogo es enviado a una estación espacial para investigar los extraños sucesos que ocurren allí."
"2001: A Space Odyssey","2001: Una Odisea del Espacio","La humanidad encuentra un misterioso artefacto enterrado bajo la superficie lunar y, con la ayuda de la inteligente supercomputadora H.A.L. 9000, se embarca en una búsqueda para encontrar sus orígenes."
"2010: The Year We Make Contact","2010: El Año que Hicimos Contacto","Una expedición conjunta estadounidense-soviética es enviada a Júpiter para descubrir qué le sucedió a la Discovery One."
"Europa Report","Europa Report","Una tripulación internacional de astronautas emprende una misión privada a la luna Europa de Júpiter en busca de vida extraterrestre."
"Life","Life","La tripulación de la Estación Espacial Internacional descubre evidencia de vida extraterrestre en Marte, pero pronto se dan cuenta de que es más inteligente de lo que jamás imaginaron."
"Pitch Black","Pitch Black","Un transporte espacial se estrella en un planeta desértico habitado por criaturas nocturnas mortales."
"The Chronicles of Riddick","Las Crónicas de Riddick","Riddick escapa de una prisión y se encuentra en medio de una guerra entre dos civilizaciones."
"Riddick","Riddick","Dejado por muerto en un planeta desértico, Riddick lucha por sobrevivir contra depredadores alienígenas y cazarrecompensas."
"Serenity","Serenity","La tripulación del barco espacial Serenity debe evitar a un agente de la Alianza mientras protege a una psíquica que conoce un secreto peligroso."
"Firefly","Firefly","Las aventuras de la tripulación del barco espacial Serenity en el siglo XXVI."
"Star Trek","Star Trek","La tripulación del USS Enterprise se embarca en su primera misión para detener a un romulano del futuro que amenaza la Federación."
"Star Trek Into Darkness","Star Trek: En la Oscuridad","La tripulación del Enterprise es enviada a una misión de guerra para capturar a un terrorista de una organización dentro de Starfleet."
"Star Trek Beyond","Star Trek: Sin Límites","La tripulación del Enterprise se estrella en un planeta desconocido y es atacada por un nuevo y despiadado enemigo."
"Star Wars: The Force Awakens","Star Wars: El Despertar de la Fuerza","Tres décadas después de la caída del Imperio, una nueva amenaza surge en la Primera Orden, mientras que Rey, Finn y Poe Dameron se unen a la Resistencia."
"Star Wars: The Last Jedi","Star Wars: Los Últimos Jedi","Rey desarrolla sus habilidades recién descubiertas con la guía de Luke Skywalker, mientras que la Resistencia se prepara para la batalla contra la Primera Orden."
"Star Wars: The Rise of Skywalker","Star Wars: El Ascenso de Skywalker","La Resistencia se enfrenta a la Primera Orden una vez más mientras Rey, Finn y Poe Dameron continúan su viaje."
"Rogue One: A Star Wars Story","Rogue One: Una Historia de Star Wars","Un grupo de héroes inesperados se une para robar los planos de la Estrella de la Muerte."
"Solo: A Star Wars Story","Solo: Una Historia de Star Wars","Las aventuras del joven Han Solo y su encuentro con su futuro copiloto Chewbacca."
"The Clone Wars","Las Guerras Clon","Mientras las Guerras Clon arrasan la galaxia, los caballeros Jedi luchan para mantener la paz y la justicia."
"Rebels","Rebels","Un grupo de rebeldes se une para luchar contra el Imperio Galáctico antes de los eventos de Una Nueva Esperanza."
"The Mandalorian","The Mandalorian","Un pistolero solitario en los confines de la galaxia, lejos de la autoridad de la Nueva República, protege a un misterioso niño."
"The Book of Boba Fett","El Libro de Boba Fett","El cazarrecompensas Boba Fett y la mercenaria Fennec Shand toman el control del territorio una vez gobernado por Jabba the Hutt."
"Obi-Wan Kenobi","Obi-Wan Kenobi","Obi-Wan Kenobi emerge de su exilio para rescatar a la princesa Leia y enfrentarse a su antigo aprendiz, Darth Vader."
"Andor","Andor","La historia de Cassian Andor y su viaje para convertirse en un héroe revolucionario."
"The Bad Batch","The Bad Batch","Un grupo de soldados clon de élite encuentra su camino en una galaxia cambiante después de las Guerras Clon."
